run,repetition,Module,nbDataPacketsForwarded
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[28].generic.np,642
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[29].generic.np,575
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[30].generic.np,757
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[31].generic.np,782
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[32].generic.np,557
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[33].generic.np,542
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[34].generic.np,575
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[35].generic.np,462
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[36].generic.np,852
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[37].generic.np,843
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[38].generic.np,1100
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[39].generic.np,367
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[40].generic.np,546
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[41].generic.np,650
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[42].generic.np,754
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[43].generic.np,515
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[44].generic.np,1007
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[45].generic.np,758
