run,PauseTime,repetition,Module,meanNbHops,nbDataPacketsForwarded,nbDataPacketsReceived,nbDataPacketsSent,nbSpdDrops
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[28].generic.np,0,412,0,0,260
RandomWaypointMobility-SPD-A-4-20220312-12:43:25-16064,0,4,TARPNetwork.node[13].generic.np,0,548,0,0,198
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[34].generic.np,0,297,0,0,302
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[39].generic.np,0,261,0,0,327
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[30].generic.np,0,370,0,0,316
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[29].generic.np,0,179,0,0,233
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[35].generic.np,0,303,0,0,259
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[23].generic.np,0,335,0,0,396
RandomWaypointMobility-SPD-A-4-20220312-12:43:25-16064,0,4,TARPNetwork.node[12].generic.np,0,476,0,0,204
RandomWaypointMobility-SPD-A-4-20220312-12:43:25-16064,0,4,TARPNetwork.node[0].generic.np,0,390,0,0,231
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[33].generic.np,0,399,0,0,216
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[31].generic.np,0,588,0,0,303
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[34].generic.np,0,382,0,0,320
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[30].generic.np,0,378,0,0,442
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[28].generic.np,0,483,0,0,271
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[29].generic.np,0,441,0,0,228
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[20].generic.np,0,333,0,0,336
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[23].generic.np,0,367,0,0,269
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[22].generic.np,2.3597359735974,0,606,606,0
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[21].generic.np,0,508,0,0,295
RandomWaypointMobility-SPD-A-4-20220312-12:43:25-16064,0,4,TARPNetwork.node[11].generic.np,0,466,0,0,189
RandomWaypointMobility-SPD-A-23-20220312-12:46:57-16064,0,23,TARPNetwork.node[32].generic.np,0,361,0,0,228
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[25].generic.np,0,360,0,0,395
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[39].generic.np,0,362,0,0,352
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[24].generic.np,0,293,0,0,274
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[19].generic.np,0,NaN,NaN,NaN,285
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[20].generic.np,0,297,0,0,308
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[21].generic.np,0,503,0,0,216
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[30].generic.np,0,687,0,0,211
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[27].generic.np,0,443,0,0,239
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[28].generic.np,0,482,0,0,230
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[15].generic.np,0,563,0,0,216
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[29].generic.np,0,414,0,0,291
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[2].generic.np,0,368,0,0,258
RandomWaypointMobility-SPD-A-13-20220312-12:45:09-16064,0,13,TARPNetwork.node[39].generic.np,0,484,0,0,217
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[0].generic.np,0,441,0,0,308
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[36].generic.np,0,646,0,0,227
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[31].generic.np,0,687,0,0,197
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[34].generic.np,0,555,0,0,206
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[35].generic.np,0,604,0,0,258
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[26].generic.np,0,363,0,0,288
RandomWaypointMobility-SPD-A-13-20220312-12:45:09-16064,0,13,TARPNetwork.node[37].generic.np,0,308,0,0,331
RandomWaypointMobility-SPD-A-13-20220312-12:45:09-16064,0,13,TARPNetwork.node[35].generic.np,0,327,0,0,331
RandomWaypointMobility-SPD-A-13-20220312-12:45:09-16064,0,13,TARPNetwork.node[36].generic.np,0,451,0,0,272
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[4].generic.np,0,305,0,0,334
RandomWaypointMobility-SPD-A-13-20220312-12:45:09-16064,0,13,TARPNetwork.node[34].generic.np,0,486,0,0,234
RandomWaypointMobility-SPD-A-13-20220312-12:45:09-16064,0,13,TARPNetwork.node[38].generic.np,0,486,0,0,202
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[12].generic.np,0,504,0,0,252
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[3].generic.np,0,411,0,0,184
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[1].generic.np,0,392,0,0,282
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[33].generic.np,0,435,0,0,279
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[22].generic.np,3.4194915254237,0,472,472,0
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[31].generic.np,0,466,0,0,246
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[23].generic.np,0,759,0,0,161
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[20].generic.np,0,486,0,0,221
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[21].generic.np,0,721,0,0,146
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[24].generic.np,0,480,0,0,157
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[33].generic.np,0,289,0,0,388
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[27].generic.np,0,362,0,0,275
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[32].generic.np,0,363,0,0,297
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[18].generic.np,0,425,0,0,222
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[19].generic.np,0,387,0,0,288
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[32].generic.np,0,412,0,0,242
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[16].generic.np,0,515,0,0,147
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[25].generic.np,0,376,0,0,303
RandomWaypointMobility-SPD-A-14-20220312-12:45:20-16064,0,14,TARPNetwork.node[17].generic.np,3.3144329896907,0,194,900,0
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[3].generic.np,0,294,0,0,356
RandomWaypointMobility-SPD-A-28-20220312-12:47:41-16064,0,28,TARPNetwork.node[1].generic.np,0,408,0,0,244
